description,sale_price,weight,category,EAN,date_added,product_uuid,availability,product_code,cost_price,country_code,country_name
Lokken Tall 4 Cube Basket Storage Shelves - White,25,11kg,homeware,9.19214E+12,00:00.0,3eeb74f0-5eda-4900-a4ef-4db922c7059c,Still_avaliable,h2-3791349W,,,
Lokken 5 Tier Corner Shelving - White,38,7.5kg,homeware,2.86963E+12,00:00.0,9f1567b8-09ff-4309-8661-eaf4ab5e5c35,Still_avaliable,J3-9903208K,,,
Lokken 1-2-3 Shelving Unit & Baskets - White,38,13.5kg,homeware,2.66537E+12,00:00.0,f32d21e2-dcea-45ba-815f-79a4d75267f3,Still_avaliable,A0-8693441I,,,
Lokken 6 Cube Basket Storage Shelf - Oak,38,13.7kg,homeware,7.30829E+12,00:00.0,32bcb6ad-07ad-4aa6-bc81-a6bbbcb0c426,Still_avaliable,F9-9043314w,,,
Lokken 6 Cube Basket Storage Shelf - White,38,13.7kg,homeware,1.37118E+12,00:00.0,75d74668-9ef4-4dca-bc7e-385f89ff25e4,Still_avaliable,y1-1182301o,,,
Tromso 4 Tier Shelving Unit,30,4.2kg,homeware,3.64774E+12,00:00.0,d97d9edf-6e20-4eb9-a8fe-2c80d5da3cc1,Still_avaliable,g0-2668160e,,,
Tromso 2 Tier Shoe Rack,40,15.5kg,homeware,7.18315E+12,00:00.0,af69f2ec-e8ea-4625-a69a-dbd9fe1f85ae,Still_avaliable,L4-0405084P,,,
Maine 3 Tier Ladder Shelf - White,15,2.7kg,homeware,9.53297E+12,00:00.0,39ba497a-3ca5-43e2-9225-aae4eee68075,Still_avaliable,j5-0832923D,,,
Glow in the Dark Dinosaur 9 Tub Storage Drawers,25,12kg,homeware,5.17491E+12,00:00.0,fe641128-2fb3-421d-9d1a-5391d4def9ab,Still_avaliable,i7-3171879O,,,
Mobel 3 Tier Multi-Purpose Trolley - Black,25,4.3kg,homeware,3.53549E+12,00:00.0,15884980-3cec-41e5-ad34-d91aea19f8b8,Still_avaliable,R9-1552641N,,,
Lokken Bookcase - Oak,32,13kg,homeware,3.42414E+11,00:00.0,6eb3835e-1108-4665-b819-3f6b3daad46e,Still_avaliable,Q6-0583882A,,,
Lokken Bookcase - White,32,13kg,homeware,2.56035E+12,00:00.0,c2c8be49-0acb-4db6-9dfe-cb6bac5de878,Still_avaliable,H9-1165552I,,,
Tromso Drinks Cabinet,100,27kg,homeware,5.87566E+12,00:00.0,6622f4c3-a158-44ba-90db-ca8fce054301,Still_avaliable,J9-1611190n,,,
Tromso Display Shelf,55,9.8kg,homeware,2.43191E+12,00:00.0,707a0cd5-4c6a-4338-a8bf-2bc5082f85a9,Still_avaliable,P1-1982715d,,,
Urban Paradise 3 Tier Ladder Shelf - Natural,30,6.2kg,homeware,7.8567E+12,00:00.0,94333c79-3a5a-4b14-a2aa-b59dd66616ab,Still_avaliable,d2-980828o,,,
Lokken 9 Cube Shelving Unit & Baskets - White,50,19.8kg,homeware,7.84564E+12,00:00.0,5043fc69-68f1-4614-b326-3dc3432e8ef7,Still_avaliable,O7-1778835P,,,
Malmo 3 Drawer Shelving Unit,25,12.5kg,homeware,9.82464E+12,00:00.0,1ba58d76-c397-4e8f-a368-d560daa39561,Still_avaliable,G7-4565040l,,,
Lokken 2 Cube Shelving Unit - Grey,12,5.6kg,homeware,5.82604E+12,00:00.0,e35d06a0-6451-431c-a500-7592bf936891,Still_avaliable,x9-8134773o,,,
Mobel Storage with Bookshelves,35,5.5kg,homeware,7.6315E+12,00:00.0,12f5f5cf-5337-4af1-ae7d-54b56eb26c38,Still_avaliable,L0-5346470T,,,
Maine Ladder Shelf,35,6.4kg,homeware,3.23743E+12,00:00.0,2116b511-0a8d-4777-842a-7c3f795737ad,Still_avaliable,s2-5658867X,,,
Lokken 4 Tier Ladder Shelf Unit,40,11.6kg,homeware,6.99271E+12,00:00.0,9da4bb8d-31f6-4ab6-8356-ef8887896476,Still_avaliable,j3-1644689L,,,
Lokken Tall 4 Cube Storage Unit with 2 Baskets,25,11kg,homeware,1.26168E+12,00:00.0,3ae6150d-b902-4919-8c98-fb35d533ef5a,Still_avaliable,G7-6042308y,,,
Maine 3 Tier Corner Shelving - White,15,2.4kg,homeware,1.954E+12,00:00.0,4e5e16ac-ab8b-467e-9039-f2e93f577d6d,Still_avaliable,b8-0028533F,,,
Detroit Sideboard - Black,85,28kg,homeware,8.45574E+12,00:00.0,a54ad6ee-1697-46c4-bcc9-11797b03894f,Still_avaliable,j7-7317745M,,,
Michigan Ladder Shelf,45,10.7kg,homeware,7.94957E+11,00:00.0,1d8a8307-7d7b-4c46-8097-cf61a66cf62d,Still_avaliable,u5-8992302x,,,
Norsk Barstool - Black,50,7.3kg,homeware,5.36575E+12,00:00.0,c532cacf-0edc-4039-8fe4-84c6c2899979,Still_avaliable,I4-8123726V,,,
Nora Barstool - Navy with Gold Base,70,7.3kg,homeware,7.24979E+12,00:00.0,02a01e0e-455d-423d-a9fa-1515899b462a,Still_avaliable,i8-346690M,,,
Loft Studio Bar Stool - Grey,65,8.4kg,homeware,2.15291E+12,00:00.0,6ac45e71-c588-4e7d-a1bf-6e6fae959449,Still_avaliable,O4-1338863j,,,
Tromso Folding Table,14,2.9kg,homeware,4.90938E+12,00:00.0,7cc9abb8-da3c-4013-8554-c2300dd4c433,Still_avaliable,w6-8223493O,,,
Mobel 3 Tier Multi-Purpose Trolley - Black,25,4.3kg,homeware,2.64729E+12,00:00.0,88101c0d-331f-422f-9ecb-92e4e5517720,Still_avaliable,p9-4554891T,,,
Tromso Drinks Cabinet,100,27kg,homeware,5.1448E+11,00:00.0,6d6e72c9-6edc-41c1-a9ff-8792e3d42764,Still_avaliable,k4-8037817p,,,
Karina Bailey Drinks Trolley - Silver,25,5.4kg,homeware,8.20004E+12,00:00.0,6c6d2c69-4f56-42bd-b683-8e02981df68a,Still_avaliable,G1-0285411W,,,
Michigan 3 Piece Breakfast Bar Set,50,15.8kg,homeware,2.56479E+12,00:00.0,4f8968bd-2b82-4b2c-8141-dea54d3c2904,Still_avaliable,b7-2776614D,,,
Karina Bailey Drinks Trolley - Gold,25,3.9kg,homeware,8.54267E+12,00:00.0,ffafca8d-1a30-4fd3-8f2a-78f19f467ff2,Still_avaliable,u1-9312438n,,,
Moden Velvet Bar Stool - Blush,35,9kg,homeware,8.26748E+12,00:00.0,fa7d0ea4-a433-44f4-9b4f-37cc719c5025,Still_avaliable,N4-9903639L,,,
Deco Glamour Drinks Trolley - Silver,20,6.3kg,homeware,6.86083E+12,00:00.0,575cba9d-2fe5-4fa9-9fe2-322e56182574,Still_avaliable,H7-0784243D,,,
Deco Glam Drinks Trolley - Gold,20,6.3kg,homeware,7.79502E+12,00:00.0,df955f7e-e5f8-44ac-8b9a-d0bb76a636e0,Still_avaliable,j1-7728014p,,,
Mobel Kids Table & Chairs,35,7kg,homeware,7.70759E+12,00:00.0,3882bdd7-a791-40bc-bf99-75aa39a42bac,Still_avaliable,m6-6523339g,,,
Foldable Fairy Unicorn Moon Chair,18,1.8kg,homeware,1.79982E+12,00:00.0,6f090e83-949e-47e5-99e1-539ea3f0fec6,Still_avaliable,N1-450760G,,,
Foldable Dinostar Moon Chair,18,1.8kg,homeware,9.83152E+12,00:00.0,c1c941fd-0818-4ce9-9268-6fa0631e6f3a,Still_avaliable,r3-37753L,,,
Glow in the Dark Dinosaur 9 Tub Storage Drawers,25,12kg,homeware,3.97452E+11,00:00.0,8bafa644-1e21-47d7-9d16-e5b692218591,Still_avaliable,P5-7377601r,,,
Space Dinosaur Table & Chairs,35,6.9kg,homeware,2.01486E+12,00:00.0,663a120d-b9e0-4c52-aa72-49101c3456dd,Still_avaliable,p2-5618786N,,,
Fairy Table & Chairs,35,6.9kg,homeware,6.13603E+12,00:00.0,1eb10d43-1f74-443e-ae78-849c906f1758,Still_avaliable,l6-3407617p,,,
Alva Clothes Rail,20,2.5kg,homeware,1.04967E+11,00:00.0,ce64af0b-aaf0-4566-a20f-801a80c53b68,Still_avaliable,i2-0122662z,,,
Amelia Vanity Set with Stool & Mirror,50,10.5kg,homeware,1.71321E+13,00:00.0,a327ebb2-b5e9-4478-b604-49f70b8328ff,Still_avaliable,q8-3555898T,,,
Alva Desk & Stool Set - White,25,11.2kg,homeware,6.29763E+12,00:00.0,21b0f65a-d761-490b-a95d-6719a363eb9b,Still_avaliable,X7-0703198P,,,
Heidi Vanity Set with Stool & Mirror - Blush,50,12.3kg,homeware,7.44729E+12,00:00.0,d253475d-c404-4f42-8323-6b24a5c5a8ba,Still_avaliable,x4-5296360k,,,
Mobel Toybox,35,11.3kg,homeware,4.21294E+12,00:00.0,574a177e-2478-4772-b6f5-dd14bf99aeb4,Still_avaliable,k8-9137950l,,,
Heidi Vanity Set with Stool & Mirror - White,50,12.3kg,homeware,2.04678E+12,00:00.0,f688c866-97d4-4e21-867f-967f4925ee4e,Still_avaliable,M3-1572471N,,,
Amelia Vanity Set with Stool & Mirror,50,10.5kg,homeware,3.18806E+11,00:00.0,8403f01c-f572-4381-a4ef-ac954cc44c84,Still_avaliable,G6-0531014R,,,
Glow in the Dark Fairy 9 Tub Storage Drawers,25,12kg,homeware,6.50549E+11,00:00.0,9cfc2aac-6c21-4041-a389-98df97545d69,Still_avaliable,L1-5145447W,,,
Heidi Vanity Set with Stool & Mirror - Grey,30,12.3kg,homeware,4.29358E+12,00:00.0,744f6afe-1369-40e8-b3c6-2ebb8e008185,Still_avaliable,b5-8856163k,,,
Malmo Single Bed,50,15.6kg,homeware,8.84993E+12,00:00.0,43096e00-4853-4294-8227-8dd43939e3a0,Still_avaliable,p0-6783624f,,,
Chunky Knit Rug 100 x 150cm - Silver,45,3.75kg,homeware,4.79493E+12,00:00.0,377b142b-b0a2-4980-80ba-3f1d85a37e2f,Still_avaliable,j1-1151073W,,,
Chunky Knit Rug 60 x 110cm - Silver,20,1.38kg,homeware,4.10158E+12,00:00.0,c0dba236-ba70-4858-b35c-72c298627178,Still_avaliable,U9-5517220l,,,
Luxury Faux Fur Rug 100 x 150cm - Blush,45,2.40kg,homeware,3.33365E+12,00:00.0,98843a1d-0753-405b-b3e2-11ab2812e177,Still_avaliable,F8-3029474C,,,
Alaska Faux Fur Rug 100 x 150cm - Cream,30,1.32kg,homeware,2.68037E+12,00:00.0,1ba6aa24-a3a1-4e61-baa2-feb65bd7d5a0,Still_avaliable,J5-0688169b,,,
Luxury Faux Fur Rug 100 x 150cm - Charcoal,45,2.40kg,homeware,3.12399E+12,00:00.0,8961a8ef-5c88-497c-8d52-e465c126658b,Still_avaliable,M5-4525934X,,,
Buddy Rug 80 x 120cm - Black,30,2.2kg,homeware,5.76083E+12,00:00.0,37983d68-78e6-4941-a20e-d84d9a9b0d85,Still_avaliable,X3-590395p,,,
Buddy Rug 80 x 120cm - Forest Green,30,2.2kg,homeware,4.57944E+12,00:00.0,f16e84f0-99c4-4a6c-a04c-516e86d72032,Still_avaliable,I0-581544W,,,
Buddy Rug 80 x 120cm - Ghost Grey,30,2.2kg,homeware,6.64136E+12,00:00.0,84ed2be9-52be-42fd-9b90-01e89500d864,Still_avaliable,Y3-7227359Y,,,
Buddy Rug 80 x 120cm - Stone,30,2.2kg,homeware,7.99108E+12,00:00.0,43ffbbaf-9a92-4f79-853d-5a9362204ba9,Still_avaliable,Q3-8831832M,,,
Michigan Ladder Shelf,45,10.7kg,homeware,4.32198E+12,00:00.0,291d5ccd-0e3d-4c5b-aa7b-cee01de72548,Still_avaliable,w0-623417L,,,
Gatsby Foil Micro Plush Rug 60 x 110cm - Blush,10,1760g,homeware,6.74273E+12,00:00.0,e8f3b095-7101-4fed-aeea-c3039d864f5f,Still_avaliable,y6-3417476g,,,
Gatsby Foil Micro Plush Rug 100 x 150cm - Blush,20,1760g,homeware,8.38232E+12,00:00.0,7b002e9b-8e1f-4c83-b5d2-3e504263234f,Still_avaliable,H0-5745492r,,,
Microplush Rug 110 x 160cm - Mink,25,1470g,homeware,6.17536E+12,00:00.0,695a54ce-84cb-4495-bff2-22e131408f1d,Still_avaliable,s8-7627949t,,,
Microplush Rug 60 x 110cm - Mink,12,520g,homeware,3.84515E+12,00:00.0,d079c76c-eae9-439a-9575-fbea987fd3c8,Still_avaliable,b8-5128699U,,,
Micro Plush Rug 110 x 160cm - Sage,25,1470g,homeware,1.08559E+12,00:00.0,7224a11a-67b0-4c71-95c5-77c213903399,Still_avaliable,v1-8704395l,,,
Micro Plush Rug 60 x 110cm - Sage,12,520g,homeware,5.14677E+12,00:00.0,9cde5f20-1277-4d16-9007-8f467508a981,Still_avaliable,n8-972804p,,,
Nordic Cream Fur Rug 100 x 150cm,45,1.80kg,homeware,3.9817E+12,00:00.0,3524e714-a818-4477-bd7d-e6a88a732d41,Still_avaliable,V8-5723688j,,,
Nordic Cream Fur Rug 60 x 110cm,20,0.79kg,homeware,3.76413E+12,00:00.0,534f2844-c0c1-4426-9303-04a24e98b85f,Still_avaliable,d4-0434292J,,,
Aspen Faux Fur Rug 100 x 150cm - Black,45,2.4g,homeware,9.1496E+12,00:00.0,42bdc2da-b4cc-451f-a84f-4267e9a58268,Still_avaliable,O3-7762763I,,,
Chunky Knit Rug 60 x 110cm - Sage,20,1.38g,homeware,3.98775E+12,00:00.0,965229b2-8f47-4528-9c42-d3bd8435043f,Still_avaliable,r2-8521850d,,,
Micro Plush Rug 110 x 160cm - Cream,20,1470g,homeware,9.16851E+12,00:00.0,51c14fcb-4819-4f1d-b8f1-d38707ba40aa,Still_avaliable,X8-2981500h,,,
Micro Plush Rug 60 x 110cm - Cream,10,520g,homeware,5.82794E+12,00:00.0,88d12dab-26c7-4208-b8e5-1d22a6a5e052,Still_avaliable,x5-5682895m,,,
Microplush Rug 110 x 160cm - Silver,25,1470g,homeware,2.63469E+12,00:00.0,d8dadd7e-ad78-4e5a-88f7-cc4093b2fc84,Still_avaliable,e3-9601139g,,,
Microplush Rug 60 x 110cm - Silver,12,520g,homeware,1.14419E+12,00:00.0,c4e8634b-e5c7-40bd-94a8-7c5032f4353a,Still_avaliable,w7-8031691v,,,
Chunky Knit Rug 100 x 150cm - Silver,45,3.75kg,homeware,9.63069E+12,00:00.0,09f57b76-c559-4e11-9d48-5997121cc1cf,Still_avaliable,V9-0206600V,,,
Chunky Knit Rug 60 x 110cm - Silver,20,1.38kg,homeware,3.15399E+12,00:00.0,4e3219f9-fc7f-498c-aca8-14e76bdcc8e6,Still_avaliable,G4-326158E,,,
Teddy Rug 100 x 150cm - Cream,45,2.70kg,homeware,6.55294E+12,00:00.0,55e527ab-1ba0-41ff-99bd-bcbae02af074,Still_avaliable,J8-6292617Z,,,
Alaska Faux Fur Rug 100 x 150cm - Cream,30,1.32kg,homeware,5.20084E+12,00:00.0,3c66bde3-b762-46b3-9d39-6546d33301eb,Still_avaliable,D7-3944479R,,,
Silver Shimmer Metallic Rug 60 x 110cm,20,1.68kg,homeware,8.12547E+11,00:00.0,12bd53a5-86bc-4972-abbf-7a3140540f5c,Still_avaliable,y4-8891079G,,,
Chunky Knit Rug 60 x 110cm - Silver,20,1.38kg,homeware,1.07534E+12,00:00.0,31227daa-acdc-4b9a-bdce-01376ea8a526,Still_avaliable,k2-8031544A,,,
Shimmer Metallic Rug 60 x 110cm - Blush,20,1.68kg,homeware,1.39686E+12,00:00.0,52f4cbb0-b9d8-44a0-aea1-13003233f5b7,Still_avaliable,z4-7344049s,,,
Teddy Rug 60 x 110cm - Charcoal,20,1.18kg,homeware,3.30846E+11,00:00.0,1b2f535b-ab01-46ed-a533-4969a4ffd0e5,Still_avaliable,P9-9974467T,,,
Tromso 4 Tier Shelving Unit,30,4.2kg,homeware,1.0559E+12,00:00.0,890aefed-11b9-4c9f-b2ef-c129f6e487e9,Still_avaliable,g4-324960M,,,
Gatsby Foil Micro Plush Rug 60 x 110cm - Blush,10,1760g,homeware,9.21382E+12,00:00.0,94d3b482-08fb-4811-9c85-b663d5a46ded,Still_avaliable,r5-7772401v,,,
Microplush Rug 60 x 110cm - Mink,12,520g,homeware,4.98232E+12,00:00.0,522f9d6a-23ec-43dc-96ea-450e7cd71d6a,Still_avaliable,S1-7882030O,,,
Micro Plush Rug 60 x 110cm - Sage,12,520g,homeware,9.65983E+12,00:00.0,14a74e93-fa6f-4921-ba19-77e7b657bb4e,Still_avaliable,I3-7896129d,,,
Nordic Cream Fur Rug 60 x 110cm,20,0.79kg,homeware,8.19472E+12,00:00.0,f9ace5cc-d0dc-41e8-b2bc-5d345e135bad,Still_avaliable,Z3-5504735G,,,
Micro Plush Rug 60 x 110cm - Navy,12,520g,homeware,5.35224E+11,00:00.0,d46b10c4-bf84-4f55-81ac-b1f0150f1cfe,Still_avaliable,t4-7569619i,,,
Micro Plush Rug 60 x 110cm - Black,12,520g,homeware,5.40023E+12,00:00.0,55a6206a-dde9-4f46-9679-c4ff6da1ee04,Still_avaliable,k6-2283101R,,,
Chunky Knit Rug 60 x 110cm - Sage,20,1.38g,homeware,8.58121E+12,00:00.0,31615957-4ae8-4128-9394-8dc87a6abb8b,Still_avaliable,O1-9109149G,,,
